rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,buy_ticker,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
35,EMA_N100_th2_bL2_sL0,EMA,100,0.02,2.0,0.0,SSO,0.12211154274855751,0.6207591906004515,0.4350791826641711,0.2806651010071722,0.8433577001590501,0.22766512652518728,52,0.09740563520772016,0.516086567383628,0.48087790974991285,0.20255793254960974,0.6871440208585279,0.2335251215980102,52,0.024705907540837346,0.8890625000000002,True,False,False,True,True,False,True,4
36,EMA_N100_th2_bL1_sL0,EMA,100,0.02,1.0,0.0,SPY,0.07542988876136847,0.691572590863432,0.2393576053928805,0.31513470665600196,0.9435920059465672,0.11468575243008092,52,0.06026404947237651,0.5517511678125466,0.278583911370715,0.21632279185061198,0.7313246849202157,0.11895053884538336,52,0.015165839288991956,0.8890625000000001,True,False,False,True,True,False,True,4
37,EMA_N200_th5_bL3_sL0,EMA,200,0.05,3.0,0.0,UPRO,0.16444752775051952,0.5979953002667708,0.5423361717633455,0.30322065226783,0.8060447581304321,0.3730046184767712,14,0.14325225110745543,0.5470616215083955,0.5657199366584711,0.25322114676318674,0.7281192039458119,0.37907859381473485,14,0.021195276643064087,0.8880208333333335,True,False,False,True,True,False,False,3
38,SMA_N50_th5_bL1_sL0,SMA,50,0.05,1.0,0.0,SPY,0.07602969392628212,0.6856610404968221,0.2845493820125893,0.2671933194461071,0.9333932145132281,0.11685783926085033,29,0.06226795678745112,0.5604415554768242,0.32187245470868947,0.19345537611724714,0.7427426299801138,0.12089450189429887,29,0.013761737138830998,0.8843750000000001,True,False,False,True,True,False,True,4
39,EMA_N100_th2_bL3_sL0,EMA,100,0.02,3.0,0.0,UPRO,0.16283581774392286,0.6144284477168696,0.5840752452730741,0.2787925341156889,0.8358253950467082,0.3416755300443891,52,0.13012470769493945,0.528060677127712,0.6258566442819173,0.20791455820404253,0.7070918233291876,0.3484347157474917,52,0.032711110048983416,0.884375,True,False,False,True,True,False,False,3
40,SMA_N200_th5_bL3_sL0,SMA,200,0.05,3.0,0.0,UPRO,0.16569580279821072,0.6083577369847484,0.587520426157425,0.2820256035724839,0.8217146689545924,0.3608586636039635,14,0.1436704560069959,0.5532936596302365,0.5936883713322464,0.24199641250273618,0.7373589588624018,0.3670612318912402,14,0.022025346791214817,0.88359375,True,False,False,True,True,False,False,3
41,SMA_N100_th5_bL3_sL0,SMA,100,0.05,3.0,0.0,UPRO,0.1674673916661209,0.6295053852612235,0.6022426193564673,0.2780729664152131,0.8489131327299406,0.33801537735275844,21,0.14266797910645623,0.5628182492956785,0.6375038891135058,0.223791543146264,0.7484964821353802,0.34409933382634506,21,0.02479941255966467,0.8833333333333334,True,False,False,True,True,False,False,3
42,SMA_N100_th0_bL1_sL0,SMA,100,0.0,1.0,0.0,SPY,0.06978641525596929,0.6610813021423525,0.2056498717965018,0.33934577564446794,0.8974954290816093,0.11146645673447313,172,0.051280373583812544,0.48953436862617583,0.22115274380452757,0.2318776276596334,0.6446295137888437,0.11596323885773618,172,0.018506041672156748,0.8807291666666667,True,False,False,True,True,True,True,5
43,SMA_N100_th2_bL1_sL0,SMA,100,0.02,1.0,0.0,SPY,0.07226741404296444,0.6735725609985251,0.28229001824372707,0.2560041424510069,0.9142933864483754,0.11311454382045667,48,0.057481948680671247,0.5362252655109042,0.3172596055258722,0.18118268975778468,0.7086049927147994,0.11707845498571492,48,0.014785465362293193,0.8760416666666667,True,False,False,True,True,False,True,4
44,SMA_N50_th5_bL2_sL0,SMA,50,0.05,2.0,0.0,SSO,0.12084926742649871,0.6084475014705666,0.5003580143894718,0.2415255955757137,0.8245176889459593,0.23214958006176686,29,0.09922530403763674,0.5183974530561309,0.5411503625469409,0.18335995114302386,0.6898956945376779,0.23753012231244136,29,0.021623963388861966,0.875,True,False,False,True,True,False,True,4
