rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
51,SMA_N50_th5_bL2_sL0,SMA,50,0.05,2.0,0.0,0.12415141329944723,0.6034468134569801,0.6226871584453144,0.1993800765209621,0.832222669786551,0.24340989937990917,64,0.1013043840124126,0.5132913561537686,0.6576716095557376,0.1540349051722706,0.6940002419263948,0.249146536274742,64,0.022847029287034637,0.8447916666666667,True,False,False,True,True,True,True,5
52,EMA_N50_th5_bL2_sL0,EMA,50,0.05,2.0,0.0,0.11840098678201083,0.6032188262394337,0.5899621060919239,0.20069252848514713,0.8399305940901408,0.22941098348433364,44,0.09994772957689557,0.5245846162245239,0.6011777335097795,0.16625321266205828,0.7161559863233147,0.2345706686991195,44,0.01845325720511526,0.8421875000000001,True,False,False,True,True,True,True,5
53,SMA_N150_th0_bL2_sL0,SMA,150,0.0,2.0,0.0,0.12363646937518391,0.611673375680642,0.6538418317213249,0.18909232076769175,0.8466479797950786,0.23669446153758408,352,0.09363302073019408,0.4909751836340924,0.6698485521622167,0.1397823738335394,0.6641076803446646,0.24315359077890814,352,0.030003448644989827,0.8401041666666668,True,False,False,True,True,True,True,5
54,EMA_N100_th0_bL3_sL0,EMA,100,0.0,3.0,0.0,0.17404006848264042,0.6345926151333046,0.862360201800427,0.20181829833900183,0.8784833231931697,0.3510220649182179,450,0.12628539372926628,0.5132988839103854,0.871984768010579,0.14482522902020942,0.6948110038280131,0.3603419107795361,450,0.04775467475337414,0.8348958333333334,True,False,False,True,True,True,True,5
55,EMA_N150_th0_bL2_sL0,EMA,150,0.0,2.0,0.0,0.12129605550174571,0.5988574297537073,0.6419148774303716,0.18895971999792555,0.8259548970413653,0.23936198428240327,368,0.0903181636556305,0.4756524102266767,0.6787585190642198,0.13306376438582154,0.6404965616281605,0.24627429901354222,368,0.030977891846115213,0.8338541666666668,True,False,False,True,True,True,True,5
56,EMA_N200_th2_bL1_sL0,EMA,200,0.02,1.0,0.0,0.07548280187760592,0.653308208021092,0.28154462722427426,0.26810244124274285,0.9064052092936934,0.12300435827358361,78,0.06183897764907442,0.5360620932742471,0.3137718938797526,0.19708259042721366,0.7231852932318362,0.12708942838276852,78,0.013643824228531498,0.8317708333333333,True,False,False,True,True,True,True,5
57,EMA_N200_th0_bL3_sL-1,EMA,200,0.0,3.0,-1.0,0.15515720008690526,0.5660022246837648,0.7229755195495111,0.21460920306621767,0.7880368056390588,0.39123301554073325,276,0.11670161313779226,0.47889459052579175,0.8238920327589041,0.14164673100066585,0.6555716290286776,0.39874507794865094,276,0.038455586949112996,0.8302083333333333,True,False,False,True,True,True,True,5
58,SMA_N200_th10_bL2_sL0,SMA,200,0.1,2.0,0.0,0.12372317872713823,0.5754017716796985,0.6424748932561545,0.19257278381742124,0.7774671685738985,0.26631429243463217,19,0.11041956329621527,0.527251902926392,0.6805542891545941,0.1622494561504886,0.7038574150514599,0.27039912156896945,19,0.013303615430922955,0.8291666666666668,True,False,False,True,True,True,True,5
59,SMA_N150_th2_bL1_sL0,SMA,150,0.02,1.0,0.0,0.07692911586115314,0.6766845157801223,0.44145610402457236,0.17426220899387793,0.9426311680313465,0.1202419184742425,80,0.06294453942997102,0.5525600149118817,0.4522282810069768,0.1391875344235712,0.7462744936799066,0.12460881885611587,80,0.013984576431182116,0.8276041666666668,True,False,False,True,True,True,True,5
60,SMA_N200_th0_bL1_sL0,SMA,200,0.0,1.0,0.0,0.07281593628846683,0.6455450405823716,0.3282656494838886,0.22182015207180752,0.8962084714429721,0.12008561549934525,236,0.057580040061600224,0.5110954565003238,0.34406966828285307,0.16734994499504902,0.6862108194352491,0.12490154363678753,236,0.015235896226866608,0.8255208333333334,True,False,False,True,True,True,True,5
61,SMA_N200_th10_bL3_sL0,SMA,200,0.1,3.0,0.0,0.1609440617010649,0.585303161920032,0.8019490781117057,0.2006911237806131,0.7912742805121978,0.39939794912795873,19,0.1449696963953575,0.5498461950637991,0.8263417212746077,0.17543552826032555,0.7374043449310258,0.40341625467968883,19,0.015974365305707394,0.8208333333333334,True,False,False,True,True,True,True,5
62,SMA_N150_th5_bL3_sL-2,SMA,150,0.05,3.0,-2.0,0.1612426706444443,0.556739237598301,0.772108965176897,0.20883408678916476,0.783154600875772,0.4602551477034973,31,0.1361759194228429,0.5095586176697912,0.7894503483875461,0.17249459665320624,0.7098112175785096,0.4650541151708253,31,0.025066751221601402,0.8192708333333334,True,False,False,True,True,True,True,5
