base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
14,EMA_N150_th2_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.24247811149657816,0.7826855198643417,0.5651297466410325,0.429066268299975,1.0814922570862668,0.36188902320640387,55,24,0.8204721131121508,-0.0493108455075153,0.02421654393961581,0.4910997507825139
14,EMA_N150_th2_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.27273893707670127,0.8402596241827607,0.5651297466410325,0.48261295516256664,1.161477171480702,0.3689578236745747,57,24,0.8384308469417646,-0.019050019927392192,0.02421654393961581,1.2712083258660862
14,EMA_N150_th2_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.23999970220940958,0.7553969240598314,0.6784750918600232,0.3537339912530262,1.0374223988499645,0.3828503311546445,42,8,0.8571683088894864,-0.05178925479468388,-0.08912880127937484,-1.720990225341567
14,EMA_N150_th2_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.24659578282856898,0.7639255540260101,0.6784750918600232,0.3634559113327691,1.048271932592546,0.38858079128742534,42,10,0.8657472989449869,-0.045193174175524486,-0.08912880127937484,-1.9721739600146255
15,EMA_N150_th5_bL1_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.12217688082669564,0.9301741631514064,0.21227526756850587,0.575558717820325,1.286611548790092,0.1335392494680942,18,1,0.8986709994937647,-0.01482282687205716,0.01885961950605225,1.2723362195914827
15,EMA_N150_th5_bL1_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.11686043829812354,0.8676257180996754,0.2232148500354382,0.5235334399999393,1.1910697695209547,0.13847894792001494,20,3,0.9167182657436471,-0.020139269400629267,0.00792003703911992,0.39326337423503815
15,EMA_N150_th5_bL1_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.12359257785315436,0.9319691062353642,0.23113488707455812,0.5347205669271666,1.2943817067246972,0.1348171537877664,16,0,0.9051008831434891,-0.013407129845598442,0.0,0.0
15,EMA_N150_th5_bL1_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.1251573020109218,0.9061957568998581,0.23113488707455812,0.5414903115450039,1.2514278645387493,0.14116689078830477,16,0,0.9302353007322093,-0.011842405687831015,0.0,0.0
16,EMA_N200_th2_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.1641261307321189,0.7188084780964779,0.36926253484650085,0.4444700321421578,0.9839673342175055,0.2580841235602275,43,13,0.8601100571122468,-0.051457598316407394,0.09181185180455737,1.7842234151702123
16,EMA_N200_th2_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.15602340495857803,0.683098204751981,0.417179742254872,0.37399564062067286,0.9313576748822661,0.2634782642562168,48,14,0.8692702348786568,-0.05956032408994827,0.04389464439618623,0.7369779306421561
